Mercadoria,Vencimento,Preco_Anterior,Preco_Atual,Variacao,Valor_ajuste_contrato,Data_new
,M21 ,"1.212,952","1.213,382","0,430","23,02",2021-04-30
,N21 ,"1.213,799","1.214,292","0,493","26,39",2021-04-30
,Q21 ,"1.214,632","1.215,002","0,370","19,81",2021-04-30
,U21 ,"1.215,436","1.215,794","0,358","19,16",2021-04-30
,V21 ,"0,000","1.216,000","0,000","0,00",2021-04-30
EUR   - Euro                                              ,K21 ,"6.504,1800","6.489,3200","-14,8600","743,00",2021-04-30
,M21 ,"6.522,3280","6.507,0770","-15,2510","762,55",2021-04-30
,N21 ,"6.542,7090","6.526,9440","-15,7650","788,25",2021-04-30
,Q21 ,"6.565,2590","6.549,4890","-15,7700","788,50",2021-04-30
,U21 ,"6.591,2700","6.574,8190","-16,4510","822,55",2021-04-30
,V21 ,"0,0000","6.600,0000","0,0000","0,00",2021-04-30
FRC   - FRA de cupom                                      ,N21 ,"0,64","0,74","0,10","0,05",2021-04-30
,Q21 ,"0,73","0,79","0,06","0,03",2021-04-30
,U21 ,"0,75","0,82","0,07","0,03",2021-04-30
,V21 ,"0,82","0,88","0,06","0,03",2021-04-30
,X21 ,"0,85","0,90","0,05","0,02",2021-04-30
,Z21 ,"0,89","0,94","0,05","0,02",2021-04-30
,F22 ,"0,92","0,96","0,04","0,02",2021-04-30
,G22 ,"0,96","0,98","0,02","0,01",2021-04-30
,H22 ,"0,98","1,00","0,02","0,01",2021-04-30
,J22 ,"1,00","1,01","0,01","0,00",2021-04-30
,N22 ,"1,02","1,04","0,02","0,01",2021-04-30
,V22 ,"1,05","1,07","0,02","0,01",2021-04-30
,F23 ,"1,10","1,12","0,02","0,01",2021-04-30
,J23 ,"1,12","1,14","0,02","0,01",2021-04-30
,N23 ,"1,14","1,16","0,02","0,01",2021-04-30
,V23 ,"1,18","1,20","0,02","0,01",2021-04-30
,F24 ,"1,23","1,24","0,01","0,00",2021-04-30
,J24 ,"1,27","1,28","0,01","0,00",2021-04-30
,N24 ,"1,32","1,34","0,02","0,01",2021-04-30
,V24 ,"1,40","1,42","0,02","0,01",2021-04-30
,F25 ,"1,44","1,47","0,03","0,01",2021-04-30
,J25 ,"1,48","1,50","0,02","0,01",2021-04-30
,N25 ,"1,54","1,56","0,02","0,01",2021-04-30
,V25 ,"1,62","1,63","0,01","0,00",2021-04-30
,F26 ,"1,62","1,68","0,06","0,03",2021-04-30
,J26 ,"1,64","1,70","0,06","0,03",2021-04-30
,N26 ,"1,72","1,78","0,06","0,03",2021-04-30
,F27 ,"1,81","1,87","0,06","0,03",2021-04-30
,F28 ,"1,93","1,99","0,06","0,03",2021-04-30
,F29 ,"2,08","2,10","0,02","0,01",2021-04-30
,F30 ,"2,26","2,27","0,01","0,00",2021-04-30
,F31 ,"2,40","2,39","-0,01","0,00",2021-04-30
,F33 ,"2,57","2,56","-0,01","0,00",2021-04-30
,F35 ,"2,70","2,69","-0,01","0,00",2021-04-30
,F36 ,"2,70","2,69","-0,01","0,00",2021-04-30
FRO   - FRA de Cupom Cambial em OC1                       ,N21 ,"0,64","0,74","0,10","0,05",2021-04-30
,Q21 ,"0,73","0,79","0,06","0,03",2021-04-30
,U21 ,"0,75","0,82","0,07","0,03",2021-04-30
,V21 ,"0,82","0,88","0,06","0,03",2021-04-30
,X21 ,"0,85","0,90","0,05","0,02",2021-04-30
,Z21 ,"0,89","0,94","0,05","0,02",2021-04-30
,F22 ,"0,92","0,96","0,04","0,02",2021-04-30
,G22 ,"0,96","0,98","0,02","0,01",2021-04-30
